codigo;archivo;imagen_url;url_origen
208;YUMMY HUEVOS FRITOS BOLSA.x500g (cod 208 ).jpeg;/static/productos_img/YUMMY HUEVOS FRITOS BOLSA.x500g (cod 208 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/WVVNTVkgSFVFVk9TIEZSSVRPUyBCT0xTQS54NTAwZyAoY29kOiAyMDggKQ==.jpeg
209;YUMMY BOTELLITAS BOLSA...x500g (cod 209 ).jpeg;/static/productos_img/YUMMY BOTELLITAS BOLSA...x500g (cod 209 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/WVVNTVkgQk9URUxMSVRBUyBCT0xTQS4uLng1MDBnIChjb2Q6IDIwOSAp.jpeg
220;YUMMY ANIMALITOS X 12 UND (cod 220 ).jpeg;/static/productos_img/YUMMY ANIMALITOS X 12 UND (cod 220 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/WVVNTVkgQU5JTUFMSVRPUyBYIDEyIFVORCAoY29kOiAyMjAgKQ==.jpeg
221;YUMMY DINO X 12 UND (cod 221 ).jpeg;/static/productos_img/YUMMY DINO X 12 UND (cod 221 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/WVVNTVkgRElOTyBYIDEyIFVORCAoY29kOiAyMjEgKQ==.jpeg
222;YUMMY FRUTITAS X 12 UND (cod 222 ).jpeg;/static/productos_img/YUMMY FRUTITAS X 12 UND (cod 222 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/WVVNTVkgRlJVVElUQVMgWCAxMiBVTkQgKGNvZDogMjIyICk=.jpeg
223;YUMMY OSITOS ACIDOS X 12 UND (cod 223 ).jpeg;/static/productos_img/YUMMY OSITOS ACIDOS X 12 UND (cod 223 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/WVVNTVkgT1NJVE9TIEFDSURPUyBYIDEyIFVORCAoY29kOiAyMjMgKQ==.jpeg
224;YUMMY OSITOS X 12 UND (cod 224 ).jpeg;/static/productos_img/YUMMY OSITOS X 12 UND (cod 224 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/WVVNTVkgT1NJVE9TIFggMTIgVU5EIChjb2Q6IDIyNCAp.jpeg
225;YUMMY PECECITOS X 12 UND (cod 225 ).jpeg;/static/productos_img/YUMMY PECECITOS X 12 UND (cod 225 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/WVVNTVkgUEVDRUNJVE9TIFggMTIgVU5EIChjb2Q6IDIyNSAp.jpeg
226;YUMMY PIECITOS ACIDOS X 12 UND (cod 226 ).jpeg;/static/productos_img/YUMMY PIECITOS ACIDOS X 12 UND (cod 226 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/WVVNTVkgUElFQ0lUT1MgQUNJRE9TIFggMTIgVU5EIChjb2Q6IDIyNiAp.jpeg
230;GOMA FANTASIA MISKY .......x1k (cod 230 ).jpeg;/static/productos_img/GOMA FANTASIA MISKY .......x1k (cod 230 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/R09NQSBGQU5UQVNJQSBNSVNLWSAuLi4uLi4ueDFrIChjb2Q6IDIzMCAp.jpeg
